epoch,train_loss,test_loss,train_tp,train_fp,train_fn,train_tn,test_tp,test_fp,test_fn,test_tn
1,0.291433324,0.18722149,9366,561,582,7750,3081,211,209,2585
2,0.172376713,0.175522234,9493,497,455,7814,3117,196,173,2600
3,0.14320339,0.181103182,9759,772,189,7539,3202,339,88,2457
4,0.120496676,0.126735576,9637,203,311,8108,3130,107,160,2689
5,0.100107638,0.141358618,9768,261,180,8050,3176,157,114,2639
6,0.085083204,0.169333629,9822,233,126,8078,3176,161,114,2635
7,0.070764642,0.134747608,9830,98,118,8213,3166,101,124,2695
8,0.060426591,0.136552431,9885,165,63,8146,3198,172,92,2624
9,0.057561766,0.160040074,9857,140,91,8171,3159,153,131,2643
10,0.042659751,0.160823751,9924,77,24,8234,3210,159,80,2637
11,0.040343326,0.151320806,9860,23,88,8288,3128,92,162,2704
12,0.031807618,0.220603357,9941,74,7,8237,3216,210,74,2586
13,0.024256556,0.276369843,9943,94,5,8217,3222,215,68,2581
14,0.019653203,0.223386867,9911,23,37,8288,3154,144,136,2652
15,0.023116433,0.268443016,9928,19,20,8292,3177,134,113,2662
16,0.024497701,0.267884131,9944,9,4,8302,3184,143,106,2653
17,0.019288948,0.291522382,9946,43,2,8268,3211,213,79,2583
18,0.020501451,0.293917415,9932,42,16,8269,3172,186,118,2610
19,0.024447239,0.246883387,9917,14,31,8297,3143,121,147,2675
20,0.020024696,0.299111857,9919,31,29,8280,3148,154,142,2642
21,0.017516206,0.328090316,9906,4,42,8307,3123,109,167,2687
22,0.015217347,0.307647761,9942,17,6,8294,3192,170,98,2626
23,0.017535967,0.337162978,9933,12,15,8299,3170,173,120,2623
24,0.022074828,0.229977809,9941,59,7,8252,3210,219,80,2577
25,0.015314348,0.381067815,9943,11,5,8300,3189,153,101,2643
26,0.015640724,0.25978107,9942,24,6,8287,3187,170,103,2626
27,0.016501397,0.274112787,9930,19,18,8292,3170,145,120,2651
28,0.012712823,0.324539139,9939,12,9,8299,3155,129,135,2667
29,0.010589489,0.372356764,9947,23,1,8288,3203,194,87,2602
30,0.01232925,0.438002226,9943,25,5,8286,3188,187,102,2609
31,0.017467873,0.313452942,9947,11,1,8300,3198,173,92,2623
32,0.016963545,0.432752809,9944,0,4,8311,3141,138,149,2658
33,0.019265755,0.334888584,9944,4,4,8307,3158,135,132,2661
34,0.009379495,0.500011456,9944,19,4,8292,3194,203,96,2593
35,0.015717726,0.518929744,9948,16,0,8295,3204,187,86,2609
